번호,발전기명,설비용량(MW),광역지역,세부지역,latitude,longitude,nearest_site_name,bell
35135,고양정수장태양광발전기,0.268,경기,경기 고양시 일산동구,37.65878,126.77501,파주,True
67484,해님1호 태양광,0.099,경기,경기 여주시 대신면,37.375042,127.58656,이천,False
64500,늘푸른하늘태양광1호,0.8935200000000001,경기,경기 안성시 삼죽면,37.07301,127.37485,이천,True
64501,늘푸른하늘태양광2호,0.70299,경기,경기 안성시 삼죽면,37.07301,127.37485,이천,True
64502,늘푸른하늘태양광3호,0.97236,경기,경기 안성시 삼죽면,37.07301,127.37485,이천,True
47284,원일태양광,0.099,경기,경기 포천시 내촌면,37.786217,127.228615,고산,False
68058,한민고태양광,0.5429999999999999,경기,경기 파주시 광탄면,37.776154,126.85126,파주,True
66787,한양1태양광,0.4599,경기,경기 평택시 서탄면,37.108242,127.035324,수원,True
28297,삼용태양광,0.491,경기,경기 포천시 일동면,37.961277,127.31711,철원,True
48631,(유)방장 태양광발전소,0.99792,경기,경기 여주시 점동면,37.206066,127.662544,이천,False
56142,솔라팩토리3태양광,1.30176,경기,경기 포천시 창수면,37.991734,127.18912,동두천,False
30127,지축차량기지태양광,1.992,경기,경기 고양시 덕양구,37.637478,126.83219,성산,True
39381,안산하수처리시설태양광,1.248,경기,경기 안산시 단원구,37.321148,126.81532,장수,True
15017,대륜발전1호태양광,0.25,경기,경기 의정부시 민락로,37.74893,127.10966,고산,True
39382,안산정수장태양광,0.537,경기,경기 안산시 단원구,37.321148,126.81532,장수,True
56105,삼마여주2호,2.99592,경기,경기 여주시 북내면,37.32931,127.67895,원주,False
38548,썬플러스5호 두일리태양광,2.02176,경기,경기 연천군 백학면,38.029713,126.91797,동두천,True
57104,준태양광 왕징7호,1.81818,경기,경기 포천시 왕징면,38.07193618,126.95213909999998,동두천,True
1944,린컴퍼니태양광,0.402,경기,경기 이천시 부발읍,37.28366,127.48688500000002,이천,True
1522,삼천리광명태양광,0.1734,경기,경기도 광명시 자경로,37.429077,126.89395,양평,True
18479,동안이젠태양광발전소,1.86975,경기,경기 김포시 양촌읍,37.657124,126.625496,강화,True
48698,(유)여주케이원솔라 태양광발전소,0.49896,경기,경기 여주시 점동면,37.206066,127.662544,이천,False
61947,리콘타태양광,0.78,경기,경기 여주시 점동면,37.206066,127.662544,이천,True
