,date,hour,48683,4711,65561,56280,42342,18272,2065
273,20191212.0,10.0,1.1352,0.6714,0.14832,0.36072,0.42336,0.1494,0.317448
274,20191212.0,11.0,1.8672,0.9702,0.20952,0.5493600000000001,0.60672,0.20124,0.541008
275,20191212.0,12.0,2.1312,1.1304,0.24372,0.6350399999999999,0.71424,0.27036,0.627336
276,20191212.0,13.0,2.1624,1.1772,0.25272,0.64512,0.74592,0.27864,0.646632
277,20191212.0,14.0,2.028,1.0944,0.23652,0.60048,0.71424,0.2574,0.59616
278,20191212.0,15.0,1.5888,0.8838,0.19476,0.48888,0.58848,0.20988,0.484272
279,20191212.0,16.0,0.6816,0.4968,0.10476,0.24624,0.20832,0.10656,0.244152
280,20191212.0,17.0,0.1776,0.0648,0.009,0.01656,0.03072,0.01404,0.020088
281,20191212.0,18.0,0.0,0.0,0.0,0.0,0.0,0.00036,7.2e-05
282,20191212.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,20191212.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,20191212.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,20191212.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,20191212.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,20191212.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,20191213.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,20191213.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,20191213.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,20191213.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,20191213.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,20191213.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,20191213.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,20191213.0,8.0,0.0432,0.0144,0.00144,0.00936,0.01344,0.00432,0.007056
296,20191213.0,9.0,0.36,0.2142,0.03672,0.07056,0.15168,0.0396,0.06804
297,20191213.0,10.0,0.924,0.495,0.11052,0.26784,0.33024,0.1083599999999999,0.198432
298,20191213.0,11.0,1.3296,0.7794,0.15984,0.40608,0.42144,0.15156,0.335016
299,20191213.0,12.0,1.4664,0.9126,0.17424,0.4284,0.42912,0.2034,0.4981680000000001
300,20191213.0,13.0,1.7544,0.8946,0.18684,0.51984,0.60096,0.21708,0.496008
301,20191213.0,14.0,1.5,0.747,0.18504,0.43992,0.53472,0.19656,0.457632
302,20191213.0,15.0,0.6768,0.4176,0.08244,0.22104,0.2352,0.08928,0.194616
303,20191213.0,16.0,0.408,0.2934,0.07704,0.18216,0.1449599999999999,0.0504,0.129816
304,20191213.0,17.0,0.1584,0.0864,0.018,0.04032,0.0528,0.018,0.04356
305,20191213.0,18.0,0.0,0.0018,0.0,0.0,0.0,0.00036,0.001224
306,20191213.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,20191213.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,20191213.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,20191213.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,20191213.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,20191213.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,20191214.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,20191214.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,20191214.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,20191214.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,20191214.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,20191214.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,20191214.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
